Series,Sheet,Hisense_model,Colour,EU_model_Indoor,EU_model_Outdoor,Type,Pdesign_Cooling_W,Pdesign_Heating_Average_W,SEER,SCOP_Heating_Average,SCOP_Heating_Warm,EnergyClass_Cooling,EnergyClass_Heating_Average,EnergyClass_Heating_Warm,CoolingCapacity_Nom,CoolingCapacity_Min,CoolingCapacity_Max,HeatingCapacity_Nom,HeatingCapacity_Min,HeatingCapacity_Max,InputCooling_Nom,InputCooling_Min,InputCooling_Max,InputHeating_Nom,InputHeating_Min,InputHeating_Max,RatedInput_Cooling_W,RatedInput_Heating_W,PowerSupply,RatedCurrent_A,Indoor_SoundPressure,Indoor_SoundPower_dBA,Outdoor_SoundPower_dBA,Outdoor_SoundPressure_dBA,LiquidPipe,GasPipe,Evaporator,Condenser
Energy Pro Plus-QE,Energy Pro Plus-QE,AST-09UW4RXVQE00B,White,QE25XV4EG,AS25XV4EW,"T1, H/P, INVERTER",2600.0,2400.0,8.8,5.1,6.1,A+++,A+++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,535.0,790.0,,2.4,38/35/34/31/29/25,53.0,60.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro Plus-QE,Energy Pro Plus-QE,AST-12UW4RXVQE00B,White,QE35XV4EG,AS35XV4EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,5.1,5.8,A+++,A+++,A+++,3500.0,1000.0,4400.0,4000.0,1600.0,4800.0,,,,,,,830.0,1000.0,,3.7,38/36/33/32/30/25,55.0,65.0,53.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro Plus-QE,Energy Pro Plus-QE,AST-18UW4RBVQE00,White,QE50BV0EG,AS50BV0EW,"T1, H/P, INVERTER",5000.0,3800.0,7.4,4.6,5.1,A++,A++,A+++,5000.0,1500.0,5800.0,5200.0,1600.0,6000.0,,,,,,,1430.0,1400.0,,6.3,44/42/39/37/35/31,60.0,65.0,57.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Fresh Air-QJ,Fresh Air-QJ,AST-09UW4RXJQJ03,White,QJ25XJ3AG,AS25XJ3EW,"T1, H/P, INVERTER",2600.0,2600.0,8.7,4.6,5.4,A+++,A++,A+++,2600.0,1000.0,3800.0,3200.0,1600.0,4000.0,,,,,,,560.0,750.0,,2.5,42/39/36/34/32/28,58.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Fresh Air-QJ,Fresh Air-QJ,AST-12UW4RXJQJ03,White,QJ35XJ3AG,AS35XJ3EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,4.6,5.2,A+++,A++,A+++,3500.0,1000.0,4200.0,4000.0,1600.0,4600.0,,,,,,,830.0,1040.0,,3.6,42/39/36/34/32/28,58.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Fresh Air-QJ,Fresh Air-QJ,AST-09UW4RXJQJ03,Golden,QJ25XJ3GG,AS25XJ3EW,"T1, H/P, INVERTER",2600.0,2600.0,8.7,4.6,5.4,A+++,A++,A+++,2600.0,1000.0,3800.0,3200.0,1600.0,4000.0,,,,,,,560.0,750.0,,2.5,42/39/36/34/32/28,58.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Fresh Air-QJ,Fresh Air-QJ,AST-12UW4RXJQJ03,Golden,QJ35XJ3GG,AS35XJ3EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,4.6,5.2,A+++,A++,A+++,3500.0,1000.0,4200.0,4000.0,1600.0,4600.0,,,,,,,830.0,1040.0,,3.6,42/39/36/34/32/28,58.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Fresh Air-QJ,Fresh Air-QJ,AST-09UW4RXJQJ03,Blue Grey,QJ25XJ3BG,AS25XJ3EW,"T1, H/P, INVERTER",2600.0,2600.0,8.7,4.6,5.4,A+++,A++,A+++,2600.0,1000.0,3800.0,3200.0,1600.0,4000.0,,,,,,,560.0,750.0,,2.5,42/39/36/34/32/28,58.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Fresh Air-QJ,Fresh Air-QJ,AST-12UW4RXJQJ03,Blue Grey,QJ35XJ3BG,AS35XJ3EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,4.6,5.2,A+++,A++,A+++,3500.0,1000.0,4200.0,4000.0,1600.0,4600.0,,,,,,,830.0,1040.0,,3.6,42/39/36/34/32/28,58.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HA,Uni-HA,AST-09UW4RXUHA00,White,,,"T1, H/P, INVERTER",2600.0,2200.0,8.5,4.6,5.5,A+++,A++,A+++,2600.0,800.0,3200.0,3000.0,800.0,3300.0,650.0,170.0,1400.0,690.0,170.0,1500.0,,,,2.9,40/37/35/33/31/25,57.0,64.0,54.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HA,Uni-HA,AST-12UW4RXUHA00,White,,,"T1, H/P, INVERTER",3500.0,2700.0,8.5,4.6,5.5,A+++,A++,A+++,3500.0,1000.0,4000.0,3900.0,1000.0,4400.0,930.0,190.0,1500.0,930.0,190.0,1600.0,,,,4.2,41/38/35/33/31/26,57.0,64.0,55.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HA,Uni-HA,AST-18UW4RBPHA00,White,,,"T1, H/P, INVERTER",5000.0,3900.0,8.5,4.6,5.2,A+++,A++,A+++,5000.0,1500.0,6300.0,5400.0,1600.0,6200.0,1220.0,260.0,1800.0,1380.0,320.0,1650.0,,,,5.4,44/42/39/37/35/31,60.0,64.0,55.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HA,Uni-HA,AST-24UW4RKWHA00,White,,,"T1, H/P, INVERTER",7000.0,5000.0,7.8,4.6,5.2,A++,A++,A+++,7000.0,1600.0,7800.0,6700.0,1800.0,8000.0,2000.0,420.0,2760.0,1800.0,395.0,2850.0,,,,8.9,47/42/40/38/36/32,64.0,69.0,59.0,3/8,5/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HB,Uni-HB,AST-09UW4RXUHB00,White,,,"T1, H/P, INVERTER",2600.0,2200.0,8.5,4.6,5.5,A+++,A++,A+++,2600.0,800.0,3200.0,3000.0,800.0,3300.0,650.0,170.0,1400.0,690.0,170.0,1500.0,,,,2.9,40/37/35/33/31/25,57.0,64.0,54.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HB,Uni-HB,AST-12UW4RXUHB00,White,,,"T1, H/P, INVERTER",3500.0,2700.0,8.5,4.6,5.5,A+++,A++,A+++,3500.0,1000.0,4000.0,3900.0,1000.0,4400.0,930.0,190.0,1500.0,930.0,190.0,1600.0,,,,4.2,41/38/35/33/31/26,57.0,64.0,55.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HB,Uni-HB,AST-18UW4RBPHB00,White,,,"T1, H/P, INVERTER",5000.0,3900.0,8.5,4.6,5.2,A+++,A++,A+++,5000.0,1500.0,6300.0,5400.0,1600.0,6200.0,1220.0,260.0,1800.0,1380.0,320.0,1650.0,,,,5.4,44/42/39/37/35/31,60.0,64.0,55.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HB,Uni-HB,AST-24UW4RKWHB00,White,,,"T1, H/P, INVERTER",7000.0,5000.0,7.8,4.6,5.2,A++,A++,A+++,7000.0,1600.0,7800.0,6700.0,1800.0,8000.0,2000.0,420.0,2760.0,1800.0,395.0,2850.0,,,,8.9,47/42/40/38/36/32,64.0,69.0,59.0,3/8,5/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HB,Uni-HB,AST-09UW4RXUHB00,Black,,,"T1, H/P, INVERTER",2600.0,2200.0,8.5,4.6,5.5,A+++,A++,A+++,2600.0,800.0,3200.0,3000.0,800.0,3300.0,650.0,170.0,1400.0,690.0,170.0,1500.0,,,,2.9,40/37/35/33/31/25,57.0,64.0,54.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HB,Uni-HB,AST-12UW4RXUHB00,Black,,,"T1, H/P, INVERTER",3500.0,2700.0,8.5,4.6,5.5,A+++,A++,A+++,3500.0,1000.0,4000.0,3900.0,1000.0,4400.0,930.0,190.0,1500.0,930.0,190.0,1600.0,,,,4.2,41/38/35/33/31/26,57.0,64.0,55.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HB,Uni-HB,AST-18UW4RBPHB00,Black,,,"T1, H/P, INVERTER",5000.0,3900.0,8.5,4.6,5.2,A+++,A++,A+++,5000.0,1500.0,6300.0,5400.0,1600.0,6200.0,1220.0,260.0,1800.0,1380.0,320.0,1650.0,,,,5.4,44/42/39/37/35/31,60.0,64.0,55.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Uni-HB,Uni-HB,AST-24UW4RKWHB00,Black,,,"T1, H/P, INVERTER",7000.0,5000.0,7.8,4.6,5.2,A++,A++,A+++,7000.0,1600.0,7800.0,6700.0,1800.0,8000.0,2000.0,420.0,2760.0,1800.0,395.0,2850.0,,,,8.9,47/42/40/38/36/32,64.0,69.0,59.0,3/8,5/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Ultra Comfort-KE,Ultra Comfort-KE,AST-09UW4RYRKE04B,White,,,"T1, H/P, INVERTER",2600.0,2200.0,6.3,4.1,5.1,A++,A+,A+++,2600.0,1000.0,3000.0,2700.0,1000.0,3000.0,765.0,190.0,1500.0,675.0,190.0,1500.0,,,,3.5,40/37/34/32/29/24,57.0,62.0,51.0,1/4,3/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Ultra Comfort-KE,Ultra Comfort-KE,AST-12UW4RMRKE00B,White,,,"T1, H/P, INVERTER",3200.0,2900.0,6.4,4.0,5.1,A++,A+,A+++,3200.0,1000.0,4000.0,3300.0,1000.0,4200.0,970.0,190.0,1600.0,870.0,190.0,1600.0,,,,4.5,40/37/34/32/30/24,59.0,62.0,52.0,1/4,3/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Ultra Comfort-KE,Ultra Comfort-KE,AST-18UW4RXSKE01G,White,,,"T1, H/P, INVERTER",5000.0,4000.0,6.1,4.0,4.7,A++,A+,A++,5000.0,1000.0,6000.0,5000.0,1600.0,6250.0,1545.0,260.0,2300.0,1345.0,350.0,2300.0,,,,6.9,44/42/40/37/36/31,60.0,63.0,55.0,1/4,1/2,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Ultra Comfort-KE,Ultra Comfort-KE,AST-24UW4RBTKE02B,White,,,"T1, H/P, INVERTER",6300.0,5400.0,6.3,4.0,5.1,A++,A+,A+++,6300.0,1600.0,7200.0,6800.0,1800.0,7300.0,2065.0,420.0,2760.0,2060.0,395.0,2700.0,,,,9.2,46/43/40/38/35/32,65.0,68.0,57.0,3/8,5/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Expert Comfort-KF,Expert Comfort-KF,AST-09UW4RYRKF04B,White,,,"T1, H/P, INVERTER",2600.0,2200.0,6.3,4.1,5.1,A++,A+,A+++,2600.0,1000.0,3000.0,2700.0,1000.0,3000.0,765.0,190.0,1500.0,675.0,190.0,1500.0,,,,3.5,40/37/34/32/29/24,57.0,62.0,51.0,1/4,3/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Expert Comfort-KF,Expert Comfort-KF,AST-12UW4RMRKF00B,White,,,"T1, H/P, INVERTER",3200.0,2900.0,6.4,4.0,5.1,A++,A+,A+++,3200.0,1000.0,4000.0,3300.0,1000.0,4200.0,970.0,190.0,1600.0,870.0,190.0,1600.0,,,,4.5,40/37/34/32/30/24,59.0,62.0,52.0,1/4,3/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Expert Comfort-KF,Expert Comfort-KF,AST-18UW4RXSKF01G,White,,,"T1, H/P, INVERTER",5000.0,4000.0,6.1,4.0,4.7,A++,A+,A++,5000.0,1000.0,6000.0,5000.0,1600.0,6250.0,1545.0,260.0,2300.0,1345.0,350.0,2300.0,,,,6.9,44/42/40/37/36/31,60.0,63.0,55.0,1/4,1/2,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Expert Comfort-KF,Expert Comfort-KF,AST-24UW4RBTKF02B,White,,,"T1, H/P, INVERTER",6300.0,5400.0,6.3,4.0,5.1,A++,A+,A+++,6300.0,1600.0,7200.0,6800.0,1800.0,7300.0,2065.0,420.0,2760.0,2060.0,395.0,2700.0,,,,9.2,46/43/40/38/35/32,65.0,68.0,57.0,3/8,5/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Wings Comfort-KB,Wings Comfort-KB,AST-09UW4RYRKB04B,White,,,"T1, H/P, INVERTER",2600.0,2200.0,6.3,4.1,5.1,A++,A+,A+++,2600.0,1000.0,3000.0,2700.0,1000.0,3000.0,765.0,190.0,1500.0,675.0,190.0,1500.0,,,,3.5,40/37/34/32/29/24,57.0,62.0,51.0,1/4,3/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Wings Comfort-KB,Wings Comfort-KB,AST-12UW4RMRKB00B,White,,,"T1, H/P, INVERTER",3200.0,2900.0,6.4,4.0,5.1,A++,A+,A+++,3200.0,1000.0,4000.0,3300.0,1000.0,4200.0,970.0,190.0,1600.0,870.0,190.0,1600.0,,,,4.5,40/37/34/32/30/24,59.0,62.0,52.0,1/4,3/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Wings Comfort-KB,Wings Comfort-KB,AST-18UW4RXSKB01G,White,,,"T1, H/P, INVERTER",5000.0,4000.0,6.1,4.0,4.7,A++,A+,A++,5000.0,1000.0,6000.0,5000.0,1600.0,6250.0,1545.0,260.0,2300.0,1345.0,350.0,2300.0,,,,6.9,44/42/40/37/36/31,60.0,63.0,55.0,1/4,1/2,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Wings Comfort-KB,Wings Comfort-KB,AST-24UW4RBTKB02B,White,,,"T1, H/P, INVERTER",6300.0,5400.0,6.3,4.0,5.1,A++,A+,A+++,6300.0,1600.0,7200.0,6800.0,1800.0,7300.0,2065.0,420.0,2760.0,2060.0,395.0,2700.0,,,,9.2,46/43/40/38/35/32,65.0,68.0,57.0,3/8,5/8,Copper tube and Aluminum Fin-Window type,Copper tube and Aluminum Fin-Corrugated type
Hi smart-CF,Hi smart-CF,AST-09UW4RYRCF04B,White,,,"T1, H/P, INVERTER",2600.0,2200.0,6.3,4.1,5.1,A++,A+,A+++,2600.0,1000.0,3000.0,2700.0,1000.0,3000.0,765.0,190.0,1500.0,675.0,190.0,1500.0,,,,3.5,40/37/34/32/29/24,57.0,62.0,51.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Hi smart-CF,Hi smart-CF,AST-12UW4RLRCF03,White,,,"T1, H/P, INVERTER",3200.0,2300.0,6.3,4.0,4.6,A++,A+,A++,3200.0,1000.0,3400.0,3650.0,1000.0,3750.0,1185.0,190.0,1400.0,1030.0,190.0,1400.0,,,,5.4,42/39/36/34/32/25,60.0,65.0,55.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Hi smart-CF,Hi smart-CF,AST-18UW4RXSCF01G,White,,,"T1, H/P, INVERTER",5000.0,4000.0,6.1,4.0,4.7,A++,A+,A++,5000.0,1000.0,6000.0,5000.0,1600.0,6250.0,1545.0,260.0,2300.0,1345.0,350.0,2300.0,,,,6.9,44/42/40/37/36/31,60.0,63.0,55.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Hi smart-CF,Hi smart-CF,AST-24UW4RBTCF02B,White,,,"T1, H/P, INVERTER",6300.0,5400.0,6.3,4.0,5.1,A++,A+,A+++,6300.0,1600.0,7200.0,6800.0,1800.0,7300.0,2065.0,420.0,2760.0,2060.0,395.0,2700.0,,,,9.2,46/43/40/38/35/32,65.0,68.0,57.0,3/8,5/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Easy smart-CA,Easy smart-CA,AST-09UW4RYRCA04B,White,,,"T1, H/P, INVERTER",2600.0,2200.0,6.3,4.1,5.1,A++,A+,A+++,2600.0,1000.0,3000.0,2700.0,1000.0,3000.0,765.0,190.0,1500.0,675.0,190.0,1500.0,,,,3.5,40/37/34/32/29/24,57.0,62.0,51.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Easy smart-CA,Easy smart-CA,AST-12UW4RLRCA03,White,,,"T1, H/P, INVERTER",3200.0,2300.0,6.3,4.0,4.6,A++,A+,A++,3200.0,1000.0,3400.0,3650.0,1000.0,3750.0,1185.0,190.0,1400.0,1030.0,190.0,1400.0,,,,5.4,42/39/36/34/32/25,60.0,65.0,55.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Easy smart-CA,Easy smart-CA,AST-18UW4RXSCA01G,White,,,"T1, H/P, INVERTER",5000.0,4000.0,6.1,4.0,4.7,A++,A+,A++,5000.0,1000.0,6000.0,5000.0,1600.0,6250.0,1545.0,260.0,2300.0,1345.0,350.0,2300.0,,,,6.9,44/42/40/37/36/31,60.0,63.0,55.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Easy smart-CA,Easy smart-CA,AST-24UW4RBTCA02B,White,,,"T1, H/P, INVERTER",6300.0,5400.0,6.3,4.0,5.1,A++,A+,A+++,6300.0,1600.0,7200.0,6800.0,1800.0,7300.0,2065.0,420.0,2760.0,2060.0,395.0,2700.0,,,,9.2,46/43/40/38/35/32,65.0,68.0,57.0,3/8,5/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Nobel,Nobel,AS-09UR4RYDDJ01,,,,"T1, H/P, INVERTER",2600.0,2000.0,6.1,4.0,,A++,A+,,2600.0,1000.0,3000.0,2700.0,1000.0,3000.0,855.0,190.0,1500.0,700.0,190.0,1500.0,,,,3.9,39/38/36/34/31/28,54.0,62.0,,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Nobel,Nobel,AS-12UR4RYDDJ01,,,,"T1, H/P, INVERTER",3400.0,2800.0,6.1,4.0,,A++,A+,,3500.0,1000.0,4000.0,3900.0,1000.0,4200.0,1140.0,190.0,1600.0,1080.0,190.0,1600.0,,,,4.9,39/38/36/34/31/28,54.0,62.0,,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Nobel,Nobel,AST-18UW4RXADJ00A,,,,"T1, H/P, INVERTER",5000.0,4700.0,6.1,4.0,,A++,A+,,5000.0,1000.0,6000.0,5600.0,1600.0,6250.0,1540.0,260.0,2300.0,1550.0,350.0,2300.0,,,6.6,6.8,46/44/42/40/38/33,60.0,65.0,56.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Nobel,Nobel,AST-24UW4RBBDJ00B,,,,"T1, H/P, INVERTER",7000.0,5300.0,6.3,4.0,,A++,A+,,7000.0,2500.0,8000.0,7100.0,2500.0,8500.0,2230.0,420.0,3000.0,2240.0,420.0,3200.0,,,,9.9,48/45/43/40/39/35,63.0,64.0,56.0,3/8,5/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Expert Smart,Expert Smart,AS-09UW4RYRCF03A,,,,"T1, H/P, INVERTER",2600.0,2000.0,6.1,4.0,5.1,A++,A+,A+++,2600.0,1000.0,3000.0,2700.0,1000.0,3000.0,855.0,190.0,1500.0,700.0,190.0,1500.0,,,,3.9,39/37/34/32/29/24,56.0,62.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Expert Smart,Expert Smart,AS-12UW4RYRCF03A,,,,"T1, H/P, INVERTER",3400.0,2700.0,6.1,4.0,5.1,A++,A+,A+++,3400.0,1000.0,4000.0,3800.0,1000.0,4200.0,1140.0,190.0,1600.0,1050.0,190.0,1600.0,,,,5.0,39/37/34/32/30/24,56.0,62.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Expert Smart,Expert Smart,AST-18UW4RXSCF01B,,,,"T1, H/P, INVERTER",5000.0,4200.0,6.1,4.0,5.1,A++,A+,A+++,5000.0,1000.0,6000.0,5600.0,1600.0,6250.0,1540.0,260.0,2300.0,1550.0,350.0,2300.0,,,,6.9,44/42/40/37/36/31,59.0,63.0,53.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Expert Smart,Expert Smart,AST-24UW4RBTCF02A,,,,"T1, H/P, INVERTER",6500.0,5450.0,6.2,4.0,5.1,A++,A+,A+++,6500.0,1600.0,7200.0,7100.0,1800.0,7300.0,2060.0,420.0,2760.0,2150.0,395.0,2700.0,,,,9.2,45/42/40/38/35/32,64.0,65.0,55.0,3/8,5/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Hi-Comfort,Hi-Comfort,AST-09UW4RYRKE04A,,,,"T1, H/P, INVERTER",2600.0,2200.0,6.3,4.0,5.1,A++,A+,A+++,2600.0,1000.0,3000.0,2700.0,1000.0,3000.0,745.0,190.0,1500.0,675.0,190.0,1500.0,,,,3.4,39/37/34/32/29/24,57.0,62.0,51.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Hi-Comfort,Hi-Comfort,AST-12UW4RMRKE00A,,,,"T1, H/P, INVERTER",3200.0,2900.0,6.8,4.0,5.1,A++,A+,A+++,3200.0,1000.0,4000.0,3300.0,1000.0,4200.0,940.0,190.0,1600.0,845.0,190.0,1600.0,,,,4.2,39/37/34/32/30/24,57.0,62.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Hi-Comfort,Hi-Comfort,AST-18UW4RBSKE00,,,,"T1, H/P, INVERTER",5000.0,3900.0,7.8,4.6,5.1,A++,A++,A+++,5000.0,1500.0,6300.0,5400.0,1600.0,6200.0,1295.0,260.0,1800.0,1380.0,320.0,1650.0,,,,5.8,44/42/40/38/36/32,60.0,63.0,56.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
